Time,Open,High,Low,Latest,Change
2025/10/7 4:00,186.04,186.06,185.92,185.92,0.27
2025/10/7 4:01,186,186.08,185.98,186.03,0.11
2025/10/7 4:02,186.02,186.08,186.02,186.05,0.02
2025/10/7 4:03,186.04,186.07,186,186.07,0.02
2025/10/7 4:04,186.06,186.1,186.05,186.06,-0.01
2025/10/7 4:05,186.08,186.2,186.08,186.2,0.14
2025/10/7 4:06,186.22,186.34,186.18,186.34,0.14
2025/10/7 4:07,186.34,186.46,186.3,186.3,-0.04
2025/10/7 4:08,186.3,186.32,186.3,186.32,0.02
2025/10/7 4:09,186.35,186.35,186.28,186.28,-0.04
2025/10/7 4:10,186.27,186.32,186.22,186.23,-0.05
2025/10/7 4:11,186.22,186.22,186.1,186.1,-0.13
2025/10/7 4:12,186.12,186.22,186.12,186.19,0.09
2025/10/7 4:13,186.19,186.19,186.09,186.09,-0.1
2025/10/7 4:14,186.12,186.12,186.11,186.11,0.02
2025/10/7 4:15,186.19,186.2,186.19,186.2,0.09
2025/10/7 4:16,186.15,186.2,186.15,186.2,0
2025/10/7 4:17,186.15,186.17,186.15,186.17,-0.03
2025/10/7 4:18,186.17,186.21,186.16,186.2,0.03
2025/10/7 4:19,186.24,186.29,186.24,186.24,0.04
2025/10/7 4:20,186.24,186.24,186.2,186.2,-0.04
2025/10/7 4:21,186.23,186.23,186.23,186.23,0.03
2025/10/7 4:22,186.3,186.38,186.3,186.38,0.15
2025/10/7 4:23,186.43,186.49,186.42,186.42,0.04
2025/10/7 4:24,186.46,186.46,186.29,186.37,-0.05
2025/10/7 4:25,186.3,186.35,186.26,186.34,-0.03
2025/10/7 4:26,186.32,186.4,186.32,186.39,0.05
2025/10/7 4:27,186.39,186.39,186.21,186.21,-0.18
2025/10/7 4:28,186.25,186.31,186.25,186.31,0.1
2025/10/7 4:29,186.29,186.35,186.29,186.35,0.04
2025/10/7 4:30,186.29,186.29,186.22,186.24,-0.11
2025/10/7 4:31,186.22,186.28,186.22,186.28,0.04
2025/10/7 4:32,186.25,186.25,186.25,186.25,-0.03
2025/10/7 4:33,186.22,186.22,186.11,186.13,-0.12
2025/10/7 4:34,186.12,186.15,186.12,186.14,0.01
2025/10/7 4:35,186.13,186.21,186.12,186.2,0.06
